;Index;wheat;maize;soybeans;rice;class;Word1;Word2;Word3;Word4;Word5
1945;45343;0.0;0.0;0.0;0.0;5.0;scotland;uk;eu;said;independ
1946;21248;0.0;0.0;0.0;0.0;5.0;said;compani;isra;israel;cline
1947;34574;0.0;0.0;0.0;0.0;5.0;year;state;cut;counti;said
1948;7099;8.0;8.0;5.0;3.0;4.0;14;dec;wheat;corn;cent
1949;25815;0.0;0.0;0.0;0.0;5.0;year;hottest;record;month;temperatur
1950;14919;0.0;0.0;0.0;0.0;5.0;said;kottmann;freyend;gsw;pggm
1951;37352;0.0;0.0;0.0;0.0;5.0;oil;market;nt;year;even
1952;2613;0.0;0.0;0.0;0.0;5.0;nobl;manag;question;investor;definit
1953;47161;0.0;0.0;0.0;0.0;5.0;ice;said;offer;exchang;lse
1954;32266;0.0;0.0;0.0;0.0;5.0;bank;rate;percent;polici;decis
1955;35138;0.0;0.0;0.0;0.0;5.0;durst;said;tower;trade;world
1956;53282;0.0;0.0;0.0;0.0;5.0;greec;said;refuge;dombrovski;review
1957;50741;0.0;0.0;0.0;0.0;5.0;said;iran;boe;aviat;air
1958;912;1.0;0.0;0.0;0.0;5.0;africa;speaker;confer;cape;town
1959;43918;0.0;0.0;0.0;0.0;5.0;banker;said;pay;year;hk
1960;57652;0.0;0.0;0.0;0.0;5.0;mine;barrick;said;percent;asset
1961;11468;0.0;0.0;0.0;0.0;5.0;bank;price;fix;gold;call
1962;1787;41.0;35.0;29.0;22.0;0.0;wheat;corn;soybean;futur;price
1963;43363;0.0;0.0;0.0;0.0;5.0;oil;price;volatil;barrel;crude
1964;21668;0.0;0.0;0.0;0.0;5.0;bitcoin;israel;currenc;machin;cash
1965;43410;0.0;0.0;0.0;0.0;5.0;rate;polici;said;fed;fomc
1966;55378;0.0;0.0;0.0;0.0;5.0;car;thing;march;think;im
1967;36971;45.0;29.0;17.0;17.0;0.0;wheat;price;corn;futur;market
1968;9656;10.0;7.0;10.0;4.0;4.0;12;jul;cent;week;month
1969;56846;16.0;16.0;14.0;15.0;4.0;tobacco;year;million;said;crop
1970;52537;0.0;0.0;0.0;0.0;5.0;percent;year;rupe;rate;said
1971;55924;0.0;0.0;0.0;0.0;5.0;appl;patent;compani;iphon;devic
1972;15220;0.0;0.0;0.0;0.0;5.0;iphon;docomo;said;appl;percent
1973;10608;101.0;53.0;33.0;46.0;0.0;wheat;mmt;crop;winter;year
1974;42764;0.0;0.0;0.0;0.0;5.0;merkel;hamburg;world;mean;cameron
1975;53527;0.0;0.0;0.0;0.0;5.0;alibaba;said;china;billion;compani
1976;22669;30.0;23.0;11.0;11.0;0.0;price;wheat;cocoa;futur;corn
1977;47853;0.0;0.0;0.0;0.0;5.0;creek;said;anna;compani;ranch
1978;13328;29.0;32.0;21.0;15.0;1.0;corn;wheat;close;may;15
1979;9682;2.0;3.0;1.0;2.0;5.0;europ;also;greec;might;would
1980;24813;0.0;0.0;0.0;0.0;5.0;facebook;htc;percent;home;declin
1981;23903;0.0;0.0;0.0;0.0;5.0;chang;vehicl;said;technolog;percent
1982;3687;0.0;0.0;0.0;0.0;5.0;said;islam;state;attack;group
1983;54864;0.0;0.0;0.0;0.0;5.0;chen;compani;busi;said;blackberri
1984;27928;27.0;20.0;8.0;8.0;0.0;wheat;nutreco;corn;futur;market
1985;2823;0.0;0.0;0.0;0.0;5.0;household;consum;inse;index;said
1986;5041;0.0;0.0;0.0;0.0;5.0;price;citi;home;percent;year
1987;40672;0.0;0.0;0.0;0.0;5.0;chocol;accord;year;euromonitor;us
1988;7687;1.0;1.0;0.0;0.0;5.0;cent;cut;fals;rate;dawn
1989;22811;0.0;0.0;0.0;0.0;5.0;app;facebook;snapchat;nt;poke
1990;51090;0.0;0.0;0.0;0.0;5.0;uber;said;new;india;rule
1991;10708;38.0;22.0;13.0;20.0;0.0;wheat;mmt;tmt;barley;crop
1992;6765;0.0;1.0;0.0;0.0;5.0;us;2015;ethanol;billion;gallon
1993;10958;45.0;43.0;31.0;25.0;0.0;acr;wheat;futur;corn;us
1994;48181;0.0;0.0;0.0;0.0;5.0;year;borrow;loan;plan;student
1995;36036;0.0;0.0;0.0;0.0;5.0;trump;percent;republican;said;support
1996;8775;0.0;0.0;0.0;0.0;5.0;platt;ice;inform;energi;servic
1997;22428;31.0;30.0;11.0;12.0;0.0;wheat;corn;price;futur;said
1998;5884;0.0;0.0;0.0;0.0;5.0;japan;abe;said;visit;minist
1999;36142;0.0;0.0;0.0;0.0;5.0;trump;black;said;meet;africanamerican
2000;24152;65.0;45.0;29.0;34.0;0.0;wheat;price;crop;uk;tonn
2001;33987;0.0;0.0;0.0;0.0;5.0;yahoo;said;busi;mayer;billion
2002;57504;0.0;0.0;0.0;0.0;5.0;antonov;london;krajbanka;claim;snora
2003;1799;1.0;1.0;0.0;1.0;5.0;agricultur;glencor;billion;stake;report
2004;40854;0.0;0.0;0.0;0.0;5.0;rate;nomura;year;said;compani
2005;15683;0.0;0.0;0.0;0.0;5.0;india;patent;said;drug;novarti
2006;16542;51.0;42.0;19.0;29.0;0.0;wheat;grain;corn;futur;tonn
2007;41590;0.0;0.0;0.0;0.0;5.0;north;korean;korea;south;reunion
2008;29370;0.0;0.0;0.0;0.0;5.0;percent;turkey;lira;drop;stock
2009;22407;33.0;27.0;14.0;12.0;0.0;wheat;corn;futur;price;syngenta
2010;40621;0.0;0.0;0.0;0.0;5.0;market;said;liquid;treasuri;new
2011;46022;0.0;0.0;0.0;0.0;5.0;yahoo;compani;busi;said;billion
2012;49266;0.0;0.0;0.0;0.0;5.0;bank;said;morawiecki;zloti;plan
2013;35447;0.0;0.0;0.0;0.0;5.0;uber;compani;michael;said;laci
2014;43081;0.0;0.0;0.0;0.0;5.0;appl;committe;help;govern;fbi
2015;47359;0.0;0.0;0.0;0.0;5.0;offic;yahoo;compani;latin;oper
2016;51406;0.0;0.0;0.0;0.0;5.0;fund;eu;said;capit;ventur
2017;17220;0.0;0.0;0.0;0.0;5.0;percent;sinc;plc;bank;gain
2018;18950;27.0;20.0;8.0;8.0;0.0;wheat;price;corn;futur;fund
2019;56992;0.0;0.0;0.0;0.0;5.0;citi;millenni;bloomberg;investor;live
2020;9063;0.0;0.0;0.0;0.0;5.0;percent;economi;report;abe;today
2021;22447;0.0;1.0;0.0;0.0;5.0;billion;us;compani;tax;oversea
2022;26928;0.0;0.0;0.0;0.0;5.0;gm;year;said;china;compani
